,Stichtag,Amtlicher Regionalschlüssel (ARS)__Code,Einwohner,Personen unter 18 Jahren,Personen 18 - 29 Jahre,Personen 30 - 49 Jahre,Personen 50 - 64 Jahre,Personen 65 Jahre und älter,Ausländeranteil,Durchschnittliche Haushaltsgröße,Durchschnittliche Nettokaltmiete/qm,Blockheizung,Etagenheizung,Fernheizung,Einzel-/ Mehrraumöfen,keine Heizung,Zentralheizung,Fernwärme,Gas,Holz/Holzpellets,Heizöl,Kohle,Solar/Geothermie/Wärmepumpe,Strom,kein Energieträger,Biomasse/Biogas,Leerstandsquote,Eigentümerquote,Gebäude vor 1919,Gebäude ab 1919 bis 1948,Gebäude ab 1949 bis 1978,Gebäude ab 1979 bis 1990,Gebäude ab 1991 bis 2000,Gebäude ab 2001 bis 2010,Gebäude ab 2011 bis 2019,Gebäude ab 2020 und später,Fläche__qkm,Einwohnerdichte,Statistische Kennziffer,GRÜNE - Zweitstimmen,GRÜNE - Zweitstimmen_Anteil
71,2022-05-15,5162,454412.0,0.174,0.113,0.248,0.24,0.225,0.134,2.1,7.42,0.019,0.08,0.04,0.037000000000000005,0.003,0.82,0.04,0.71,0.008,0.156,0.001,0.04,0.040999999999999995,0.003,,0.025,0.478,0.068,0.07,0.442,0.14400000000000002,0.12300000000000001,0.083,0.063,0.006999999999999999,576.44,788.3075428492124,5162,31754,0.11550017095509336
72,2022-05-15,5166,294485.0,0.162,0.11599999999999999,0.23199999999999998,0.258,0.23199999999999998,0.10400000000000001,2.1,6.42,0.006,0.107,0.068,0.024,0.005,0.79,0.068,0.7290000000000001,0.009000000000000001,0.12,0.001,0.04,0.027999999999999997,0.005,,0.027000000000000003,0.521,0.129,0.084,0.374,0.134,0.146,0.078,0.048,0.008,563.27,522.8132156869707,5166,21085,0.11414449821894522
73,2022-05-15,5170,453093.0,0.16,0.113,0.233,0.251,0.243,0.098,2.1,6.16,0.011000000000000001,0.062,0.231,0.028999999999999998,0.003,0.665,0.231,0.524,0.011000000000000001,0.162,0.003,0.039,0.027000000000000003,0.003,,0.028999999999999998,0.474,0.08900000000000001,0.079,0.415,0.141,0.136,0.083,0.049,0.008,1042.81,434.4923811624361,5170,27883,0.09609923211602354
74,2022-05-15,5314,321544.0,0.17,0.174,0.266,0.203,0.187,0.17800000000000002,1.9,9.14,0.021,0.10800000000000001,0.11900000000000001,0.013999999999999999,0.002,0.735,0.11900000000000001,0.718,0.008,0.11800000000000001,0.001,0.02,0.013000000000000001,0.002,0.002,0.027999999999999997,0.29600000000000004,0.142,0.098,0.433,0.132,0.084,0.065,0.04,0.005,141.06,2279.483907557068,5314,44136,0.22901262433648292
75,2022-05-15,5315,1017355.0,0.161,0.162,0.292,0.207,0.17800000000000002,0.18600000000000003,1.9,9.41,0.021,0.16699999999999998,0.157,0.016,0.003,0.636,0.157,0.727,0.008,0.077,0.001,0.013000000000000001,0.013999999999999999,0.003,,0.025,0.247,0.083,0.14300000000000002,0.45899999999999996,0.1,0.079,0.076,0.054000000000000006,0.006,405.01,2511.9256314658896,5315,131770,0.2166970352780208
76,2022-05-15,5316,166356.0,0.17300000000000001,0.129,0.251,0.231,0.215,0.17,2.0,7.02,0.009000000000000001,0.128,0.14,0.013999999999999999,0.002,0.7070000000000001,0.14,0.7390000000000001,0.006,0.084,,0.015,0.013000000000000001,0.002,,0.025,0.327,0.10800000000000001,0.128,0.442,0.105,0.08800000000000001,0.077,0.047,0.004,78.87,2109.243058197033,5316,10713,0.11803788054077281
77,2022-05-15,5334,577572.0,0.156,0.183,0.24,0.215,0.20600000000000002,0.16399999999999998,2.0,7.31,0.016,0.168,0.062,0.027000000000000003,0.004,0.722,0.062,0.722,0.012,0.154,0.001,0.022000000000000002,0.023,0.004,,0.031,0.353,0.12,0.121,0.426,0.114,0.098,0.067,0.048,0.006999999999999999,706.92,817.0259718214226,5334,51771,0.15980331330042874
78,2022-05-15,5358,275392.0,0.17,0.129,0.243,0.239,0.21899999999999997,0.12300000000000001,2.2,6.11,0.009000000000000001,0.131,0.037000000000000005,0.051,0.006999999999999999,0.765,0.037000000000000005,0.6629999999999999,0.02,0.185,0.002,0.042,0.042,0.006999999999999999,,0.027999999999999997,0.52,0.084,0.086,0.418,0.129,0.141,0.076,0.055,0.011000000000000001,941.49,292.50655875261555,5358,13843,0.08470863241116394
79,2022-05-15,5362,471257.0,0.174,0.121,0.251,0.235,0.218,0.139,2.1,7.66,0.013999999999999999,0.065,0.10099999999999999,0.033,0.004,0.7829999999999999,0.10099999999999999,0.626,0.011000000000000001,0.19,0.001,0.032,0.034,0.004,,0.024,0.507,0.055999999999999994,0.077,0.452,0.14300000000000002,0.12300000000000001,0.084,0.055999999999999994,0.009000000000000001,704.7,668.7342131403434,5362,34681,0.1210628650020421
80,2022-05-15,5366,197836.0,0.17,0.11900000000000001,0.235,0.25,0.225,0.083,2.2,6.12,0.006,0.051,0.015,0.040999999999999995,0.01,0.8759999999999999,0.015,0.5820000000000001,0.036000000000000004,0.268,0.001,0.053,0.033,0.01,0.001,0.040999999999999995,0.586,0.115,0.077,0.381,0.122,0.132,0.09300000000000001,0.066,0.013000000000000001,1248.72,158.43103337817925,5366,11681,0.09278735403924061
81,2022-05-15,5370,258975.0,0.16899999999999998,0.12300000000000001,0.242,0.24600000000000002,0.21899999999999997,0.12300000000000001,2.2,6.09,0.009000000000000001,0.05,0.079,0.022000000000000002,0.009000000000000001,0.8320000000000001,0.079,0.45399999999999996,0.017,0.349,0.004,0.067,0.02,0.009000000000000001,0.001,0.03,0.555,0.069,0.1,0.382,0.12300000000000001,0.138,0.10300000000000001,0.073,0.013000000000000001,627.92,412.43311249840747,5370,13623,0.08730901353568499
82,2022-05-15,5374,272744.0,0.177,0.125,0.237,0.242,0.21899999999999997,0.10400000000000001,2.2,5.85,0.01,0.106,0.015,0.042,0.006,0.82,0.015,0.6859999999999999,0.032,0.182,0.001,0.039,0.04,0.006,,0.040999999999999995,0.547,0.13699999999999998,0.08,0.402,0.121,0.135,0.08,0.038,0.006999999999999999,918.84,296.83513995907884,5374,16035,0.09510168496343611
83,2022-05-15,5378,282677.0,0.168,0.109,0.23399999999999999,0.252,0.237,0.099,2.1,7.48,0.006999999999999999,0.091,0.036000000000000004,0.026000000000000002,0.004,0.8370000000000001,0.036000000000000004,0.737,0.022000000000000002,0.145,,0.032,0.024,0.004,0.001,0.03,0.517,0.08800000000000001,0.073,0.43799999999999994,0.139,0.125,0.083,0.047,0.006999999999999999,437.33,646.3700180641621,5378,27583,0.1503570455164895
84,2022-05-15,5382,600286.0,0.17300000000000001,0.12,0.24,0.243,0.223,0.10800000000000001,2.1,7.26,0.009000000000000001,0.08,0.026000000000000002,0.039,0.004,0.8420000000000001,0.026000000000000002,0.687,0.017,0.182,,0.044000000000000004,0.04,0.004,,0.025,0.528,0.081,0.059000000000000004,0.406,0.152,0.147,0.09300000000000001,0.055999999999999994,0.005,1153.2,520.539368713146,5382,51583,0.13554498633592602
85,2022-05-15,5512,117921.0,0.161,0.121,0.243,0.24100000000000002,0.23399999999999999,0.11199999999999999,2.0,6.09,0.013000000000000001,0.061,0.24600000000000002,0.067,0.004,0.609,0.24600000000000002,0.5379999999999999,0.005,0.08900000000000001,0.006,0.039,0.073,0.004,,0.031,0.375,0.17,0.10800000000000001,0.389,0.125,0.092,0.062,0.047,0.006999999999999999,100.62,1171.9439475253428,5512,5777,0.08402175810111118
86,2022-05-15,5513,264130.0,0.188,0.139,0.251,0.218,0.203,0.226,2.0,5.47,0.017,0.155,0.24600000000000002,0.042,0.004,0.536,0.24600000000000002,0.637,0.009000000000000001,0.052000000000000005,0.003,0.006999999999999999,0.04,0.004,,0.053,0.237,0.19399999999999998,0.155,0.419,0.081,0.062,0.043,0.038,0.006999999999999999,104.94,2516.9620735658473,5513,7944,0.06523452897122586
87,2022-05-15,5515,303772.0,0.152,0.217,0.253,0.196,0.182,0.11,1.9,8.74,0.032,0.13699999999999998,0.165,0.013000000000000001,0.001,0.6509999999999999,0.165,0.6659999999999999,0.01,0.11599999999999999,,0.025,0.017,0.001,,0.02,0.292,0.033,0.087,0.447,0.136,0.109,0.105,0.07200000000000001,0.011000000000000001,303.28,1001.6222632550779,5515,55144,0.26610945696182375
88,2022-05-15,5554,374418.0,0.185,0.133,0.243,0.242,0.198,0.10099999999999999,2.3,6.26,0.011000000000000001,0.10800000000000001,0.026000000000000002,0.019,0.003,0.8340000000000001,0.026000000000000002,0.735,0.019,0.142,,0.055,0.02,0.003,0.001,0.025,0.573,0.043,0.078,0.365,0.145,0.163,0.11199999999999999,0.078,0.016,1420.96,263.4965094020944,5554,23939,0.10135956202710655
89,2022-05-15,5558,222953.0,0.174,0.12,0.235,0.249,0.223,0.071,2.2,6.22,0.006999999999999999,0.09699999999999999,0.018000000000000002,0.032,0.003,0.843,0.018000000000000002,0.6940000000000001,0.02,0.172,0.001,0.057,0.034,0.003,,0.022000000000000002,0.5529999999999999,0.054000000000000006,0.055999999999999994,0.359,0.153,0.17300000000000001,0.114,0.079,0.012,1112.03,200.49189320432004,5558,20146,0.13352155989448708
90,2022-05-15,5562,618350.0,0.165,0.121,0.23800000000000002,0.24100000000000002,0.23399999999999999,0.126,2.0,5.88,0.019,0.13699999999999998,0.196,0.038,0.003,0.608,0.196,0.6629999999999999,0.006999999999999999,0.071,0.008,0.018000000000000002,0.034,0.003,,0.033,0.406,0.127,0.113,0.42100000000000004,0.129,0.09699999999999999,0.069,0.039,0.005,761.48,812.0370856752639,5562,32654,0.08993139612061724
91,2022-05-15,5566,443690.0,0.179,0.13,0.23800000000000002,0.245,0.20800000000000002,0.10099999999999999,2.2,5.96,0.011000000000000001,0.076,0.025,0.016,0.003,0.8690000000000001,0.025,0.7090000000000001,0.025,0.175,0.009000000000000001,0.040999999999999995,0.013999999999999999,0.003,,0.025,0.56,0.061,0.084,0.365,0.126,0.165,0.11,0.077,0.012,1795.76,247.07644674121264,5566,34536,0.12076284521403445
