,Stichtag,Amtlicher Regionalschlüssel (ARS)__Code,Einwohner,Personen unter 18 Jahren,Personen 18 - 29 Jahre,Personen 30 - 49 Jahre,Personen 50 - 64 Jahre,Personen 65 Jahre und älter,Ausländeranteil,Durchschnittliche Haushaltsgröße,Durchschnittliche Nettokaltmiete/qm,Blockheizung,Etagenheizung,Fernheizung,Einzel-/ Mehrraumöfen,keine Heizung,Zentralheizung,Fernwärme,Gas,Holz/Holzpellets,Heizöl,Kohle,Solar/Geothermie/Wärmepumpe,Strom,kein Energieträger,Biomasse/Biogas,Leerstandsquote,Eigentümerquote,Gebäude vor 1919,Gebäude ab 1919 bis 1948,Gebäude ab 1949 bis 1978,Gebäude ab 1979 bis 1990,Gebäude ab 1991 bis 2000,Gebäude ab 2001 bis 2010,Gebäude ab 2011 bis 2019,Gebäude ab 2020 und später,Fläche__qkm,Einwohnerdichte
178,2022-05-15,8127,197296.0,35722.0,26272.0,50338.0,45144.0,39816.0,26288.0,2.2,6.7,590.0,3318.0,10880.0,6800.0,738.0,71977.0,10880.0,30686.0,14567.0,30315.0,51.0,3793.0,3096.0,738.0,182.0,4.9,61.4,6046.0,3701.0,19202.0,7408.0,7962.0,4727.0,4139.0,1328.0,1484.07,132.94251618858948
179,2022-05-15,8128,132215.0,21831.0,16297.0,31150.0,31615.0,31318.0,14268.0,2.2,6.08,466.0,2747.0,3272.0,7703.0,911.0,52024.0,3272.0,24847.0,9641.0,20238.0,46.0,2553.0,5532.0,911.0,85.0,6.1,60.9,5345.0,2825.0,14908.0,5713.0,5266.0,2825.0,1978.0,558.0,1304.12,101.38254148391253
180,2022-05-15,8135,133426.0,23131.0,17120.0,33065.0,30248.0,29861.0,22441.0,2.2,6.86,330.0,2905.0,5427.0,4351.0,355.0,50136.0,5427.0,41836.0,3812.0,7885.0,32.0,1751.0,2304.0,355.0,96.0,4.7,59.0,4123.0,3514.0,16162.0,4908.0,4045.0,2023.0,1506.0,408.0,627.12,212.75991835693327
181,2022-05-15,8136,314697.0,54937.0,42929.0,77371.0,72313.0,67148.0,37476.0,2.2,7.01,1110.0,7827.0,5452.0,10783.0,970.0,124707.0,5452.0,64590.0,16274.0,50961.0,42.0,6270.0,6124.0,970.0,162.0,4.8,61.0,7541.0,5928.0,35107.0,12520.0,10919.0,6580.0,5142.0,1612.0,1511.38,208.21831703476292
182,2022-05-15,8211,55887.0,8442.0,6266.0,13066.0,13009.0,15103.0,12341.0,1.9,7.88,535.0,4267.0,615.0,1424.0,149.0,24201.0,615.0,19802.0,1176.0,7415.0,5.0,825.0,1168.0,149.0,30.0,5.2,40.9,1938.0,1178.0,4233.0,1630.0,1257.0,762.0,630.0,130.0,140.19,398.6518296597475
183,2022-05-15,8212,305408.0,45003.0,58639.0,81130.0,61657.0,58974.0,56204.0,2.0,8.71,1207.0,28295.0,45427.0,6235.0,199.0,80066.0,45427.0,88472.0,1826.0,19347.0,1073.0,1927.0,3042.0,199.0,110.0,3.2,29.1,5782.0,6373.0,17661.0,4991.0,3603.0,2479.0,1940.0,316.0,173.42,1761.0886864260178
184,2022-05-15,8215,451114.0,76815.0,54735.0,113388.0,107232.0,98945.0,65745.0,2.2,7.38,2089.0,6011.0,5756.0,17370.0,1367.0,182741.0,5756.0,99405.0,9412.0,71957.0,48.0,10661.0,16525.0,1367.0,206.0,4.1,58.3,9752.0,8794.0,48248.0,18366.0,15232.0,10091.0,7841.0,2008.0,1084.97,415.7847682424399
185,2022-05-15,8216,230071.0,38593.0,27621.0,56457.0,55384.0,52018.0,35841.0,2.2,7.0,887.0,6998.0,2944.0,8658.0,640.0,93303.0,2944.0,53967.0,7736.0,36046.0,41.0,4828.0,7112.0,640.0,117.0,4.5,57.1,5330.0,4828.0,23317.0,8753.0,6616.0,4829.0,3498.0,638.0,738.44,311.5635664373544
186,2022-05-15,8221,153809.0,23116.0,39323.0,40529.0,25631.0,25211.0,31267.0,2.0,10.45,457.0,9324.0,32053.0,1120.0,157.0,37887.0,32053.0,36646.0,469.0,7581.0,2503.0,900.0,637.0,157.0,50.0,3.4,25.9,3965.0,3385.0,7260.0,2565.0,1358.0,1141.0,964.0,207.0,108.83,1413.2959661857944
187,2022-05-15,8222,313693.0,48990.0,55486.0,87096.0,63556.0,58564.0,82171.0,1.9,8.68,528.0,11716.0,109149.0,5542.0,557.0,45073.0,109149.0,46640.0,725.0,10967.0,62.0,1285.0,3138.0,557.0,41.0,4.5,27.5,4766.0,8362.0,16760.0,5472.0,3369.0,2015.0,1793.0,557.0,144.97,2163.8476926260605
